# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.048116058133812034e-01 5.584800179707866130e-01 7.039627539622149710e-01 8.567045582946213322e-01
2.000000000000000000e+00 1.539770705754531122e+00 8.817184235603051645e-01 1.519578630474120784e+00 2.418957226301492014e+00
3.000000000000000000e+00 2.046136570867703952e+00 1.027778605772245779e+00 1.991515332585618525e+00 3.671556229551965700e+00
4.000000000000000000e+00 2.361318865640437359e+00 1.115175619079311842e+00 2.311918356058247248e+00 4.566045567090552204e+00
5.000000000000000000e+00 2.618387397195701904e+00 1.201598206095492394e+00 2.585712881325172408e+00 5.316783564923171390e+00
6.000000000000000000e+00 2.845155811452644734e+00 1.270546571774384237e+00 2.810295800479493789e+00 5.961781617980986603e+00
7.000000000000000000e+00 3.019875522341651131e+00 1.316450296716639157e+00 2.994532941702483964e+00 6.503850849428141068e+00
8.000000000000000000e+00 3.169535496377788863e+00 1.351480056605287139e+00 3.126447605222761439e+00 6.961140506990925125e+00
9.000000000000000000e+00 3.302473545543296751e+00 1.379448152554302309e+00 3.228640256167366829e+00 7.363895790303992328e+00
1.000000000000000000e+01 3.410964226672298150e+00 1.408144471692464705e+00 3.331755997715184048e+00 7.741054885353608306e+00
1.100000000000000000e+01 3.516898966882757271e+00 1.454667356998197159e+00 3.451065672241902416e+00 8.114349143757833005e+00
1.200000000000000000e+01 3.607748631866819267e+00 1.497029598689000540e+00 3.581284781535682082e+00 8.477707870294569403e+00
1.300000000000000000e+01 3.687894097414389449e+00 1.519659727788366332e+00 3.679663010171041915e+00 8.797055859713804438e+00
1.400000000000000000e+01 3.764186697614220645e+00 1.545849855565601949e+00 3.751096271002481330e+00 9.059986721080843353e+00
1.500000000000000000e+01 3.820146846781165006e+00 1.569888653082618379e+00 3.804307484237199333e+00 9.291631360817886431e+00
1.600000000000000000e+01 3.881443628003091728e+00 1.590545129215391817e+00 3.862003055563554277e+00 9.531196980204553526e+00
1.700000000000000000e+01 3.954779818903653155e+00 1.604747577567333217e+00 3.915001009509503582e+00 9.773628535868885692e+00
1.800000000000000000e+01 4.008413642215962192e+00 1.623819614705296566e+00 3.972105834065006835e+00 1.000069941313547339e+01
1.900000000000000000e+01 4.072897860512857626e+00 1.649633063142996514e+00 4.042236524871475112e+00 1.023359289609932432e+01
2.000000000000000000e+01 4.129580929064417205e+00 1.669541534279872286e+00 4.111122548229709572e+00 1.045721816105053570e+01
2.100000000000000000e+01 4.168766762839913653e+00 1.681485146631876537e+00 4.164749002729540628e+00 1.065685595124173446e+01
2.200000000000000000e+01 4.222775876688860563e+00 1.693011436769736866e+00 4.207784782497848042e+00 1.085302273522543537e+01
2.300000000000000000e+01 4.283451098082075248e+00 1.714001158680066972e+00 4.271295002529137186e+00 1.106288096238503194e+01
2.400000000000000000e+01 4.333316054880377521e+00 1.735655769016744898e+00 4.332777329068009387e+00 1.125909130994768326e+01
2.500000000000000000e+01 4.362243050158104651e+00 1.743460162058999785e+00 4.371364681090184057e+00 1.141955802864876190e+01
2.600000000000000000e+01 4.400544426291154387e+00 1.757873241565095057e+00 4.409585604256862190e+00 1.157174214585995387e+01
2.700000000000000000e+01 4.447717118235110512e+00 1.768032241468927568e+00 4.443912143429328054e+00 1.172711174927247946e+01
2.800000000000000000e+01 4.497717283669570243e+00 1.783003923838794025e+00 4.485388246072150586e+00 1.188624954899833597e+01
2.900000000000000000e+01 4.539963618859001571e+00 1.794262280681059529e+00 4.535811668782777417e+00 1.204981307608133712e+01
3.000000000000000000e+01 4.567368005489951699e+00 1.805528809096328180e+00 4.585454887998545281e+00 1.220405754246091057e+01
3.100000000000000000e+01 4.593827556297756409e+00 1.810750972497859212e+00 4.622231571053219135e+00 1.234082724831811895e+01
3.200000000000000000e+01 4.624215436398295687e+00 1.826669625649903539e+00 4.662271286970991468e+00 1.247282145266660613e+01
3.300000000000000000e+01 4.652941632570097852e+00 1.832960823634454117e+00 4.697730363850254776e+00 1.260293155495875794e+01
3.400000000000000000e+01 4.698998696662416208e+00 1.847779278071872033e+00 4.727929932245571898e+00 1.273276875900866223e+01
3.500000000000000000e+01 4.733297398933150824e+00 1.850567641264068364e+00 4.748886581543190211e+00 1.284913348515311959e+01
3.600000000000000000e+01 4.766584129056480101e+00 1.858542067472886750e+00 4.776919702364005538e+00 1.296534698262311203e+01
