# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.687316111233564175e-01 6.040528376051980119e-01 7.686907298775554898e-01 9.410444456587233608e-01
2.000000000000000000e+00 1.975192876534847430e+00 1.089599686639460607e+00 1.973520139090198855e+00 3.277205669362483142e+00
3.000000000000000000e+00 3.056694234112444786e+00 1.494519553711755044e+00 3.050857693313447250e+00 6.240898286990815613e+00
4.000000000000000000e+00 4.001349908949146439e+00 1.792619679073100825e+00 3.997534903761791103e+00 9.353823031928865106e+00
5.000000000000000000e+00 4.825638588679920460e+00 2.035281547961487192e+00 4.834726835437487935e+00 1.238612571098415849e+01
6.000000000000000000e+00 5.519211271697509247e+00 2.219185663470321757e+00 5.553176581207111440e+00 1.506617617313306212e+01
7.000000000000000000e+00 6.049769994713656729e+00 2.339771595760453682e+00 6.111024057050264524e+00 1.710764154172008134e+01
8.000000000000000000e+00 6.439754620606966462e+00 2.419245159214983509e+00 6.517933966649675170e+00 1.853319766796291646e+01
9.000000000000000000e+00 6.723567111907255978e+00 2.472439000211028137e+00 6.815979805258320923e+00 1.951876467472892074e+01
1.000000000000000000e+01 6.937392760617521859e+00 2.507442079199158957e+00 7.036234318580718572e+00 2.023577001205747194e+01
1.100000000000000000e+01 7.110895498985147611e+00 2.537899602747845762e+00 7.207609077300402234e+00 2.079251210969915320e+01
1.200000000000000000e+01 7.251440750726399820e+00 2.565887724663918679e+00 7.348794559884370692e+00 2.124729801977308341e+01
1.300000000000000000e+01 7.368468972682899576e+00 2.589320071998973294e+00 7.468021074489147537e+00 2.162946356640689061e+01
1.400000000000000000e+01 7.468289345959274073e+00 2.607711604119927529e+00 7.568048238482751877e+00 2.195529617038485881e+01
1.500000000000000000e+01 7.555951656108015335e+00 2.623459404057418620e+00 7.655090479940290571e+00 2.224066695114175829e+01
1.600000000000000000e+01 7.634997947027566845e+00 2.637949940489646039e+00 7.731707997994944570e+00 2.249462120154935008e+01
1.700000000000000000e+01 7.707919360428729050e+00 2.650724922121948435e+00 7.797067753462977535e+00 2.271394747170531758e+01
1.800000000000000000e+01 7.771050040077623677e+00 2.660779336111969151e+00 7.852252984665719637e+00 2.290182572719132637e+01
1.900000000000000000e+01 7.826797430274710976e+00 2.668947778847696739e+00 7.903045408389895776e+00 2.307091034733525703e+01
2.000000000000000000e+01 7.878413888574328006e+00 2.678476006973553147e+00 7.954040304126110961e+00 2.322904109088509728e+01
2.100000000000000000e+01 7.922003393357740286e+00 2.687388321117845091e+00 8.004310844685191384e+00 2.337453275262596009e+01
2.200000000000000000e+01 7.959615584931815313e+00 2.693156736659939376e+00 8.049684416383957597e+00 2.350671014948927606e+01
2.300000000000000000e+01 7.995369493105673797e+00 2.698065654147766779e+00 8.087175358129902847e+00 2.362436171481845903e+01
2.400000000000000000e+01 8.031621943457651014e+00 2.703738925503690993e+00 8.120049892130230873e+00 2.373429199476938933e+01
2.500000000000000000e+01 8.067932544998040356e+00 2.709564390835197845e+00 8.154544743844672539e+00 2.383864658483009791e+01
2.600000000000000000e+01 8.101660638413859417e+00 2.715212607656455557e+00 8.187074320426802387e+00 2.393172294395804656e+01
2.700000000000000000e+01 8.131155840669759272e+00 2.719624382639317606e+00 8.212471013133928466e+00 2.401150429896791749e+01
2.800000000000000000e+01 8.156712202172307968e+00 2.722396283181735210e+00 8.236323833072919598e+00 2.408273270299448399e+01
2.900000000000000000e+01 8.180738327817641320e+00 2.725407393820397761e+00 8.259202798798652267e+00 2.414716374052985515e+01
3.000000000000000000e+01 8.203371571142948682e+00 2.728255700901548675e+00 8.279070275606029483e+00 2.420595073799505315e+01
3.100000000000000000e+01 8.224481620420352357e+00 2.729871101208380502e+00 8.295177388792152939e+00 2.425984614939082462e+01
3.200000000000000000e+01 8.242878657246366814e+00 2.731310454301998369e+00 8.308772241279957171e+00 2.430839614766569667e+01
3.300000000000000000e+01 8.260835245855018272e+00 2.734490219668655797e+00 8.324384941284449724e+00 2.435516358934981440e+01
3.400000000000000000e+01 8.278720575475407628e+00 2.736752465092178177e+00 8.342125930230430697e+00 2.440185600986660575e+01
3.500000000000000000e+01 8.295840946214243061e+00 2.738915957929759948e+00 8.358640071121071102e+00 2.444668955852155534e+01
3.600000000000000000e+01 8.313970668783024820e+00 2.742061359958347655e+00 8.372993179445201051e+00 2.449184948158955066e+01
3.700000000000000000e+01 8.329362909526736303e+00 2.743801252689798797e+00 8.385336087710921760e+00 2.453306586297586023e+01
3.800000000000000000e+01 8.341891469713207385e+00 2.745530926615184608e+00 8.398009324823446420e+00 2.456949184794179786e+01
3.900000000000000000e+01 8.352383014526530758e+00 2.746444861097197432e+00 8.411897286804261853e+00 2.460142410146714198e+01
4.000000000000000000e+01 8.361191612324335054e+00 2.747866091625479790e+00 8.424945446860238718e+00 2.463004011388913028e+01
4.100000000000000000e+01 8.369961235724725057e+00 2.748238405779559912e+00 8.435420006307355223e+00 2.465661302624263129e+01
4.200000000000000000e+01 8.378268780114865422e+00 2.747743177901951217e+00 8.444757753106935994e+00 2.468102767637653372e+01
4.300000000000000000e+01 8.385353036701687302e+00 2.747814654671963730e+00 8.455357791317235083e+00 2.470701672474001143e+01
4.400000000000000000e+01 8.392720746786949348e+00 2.749782253822398381e+00 8.466629840204053181e+00 2.473369172063084420e+01
4.500000000000000000e+01 8.401493999926190170e+00 2.752962351472386882e+00 8.477199171372994613e+00 2.476260237463064939e+01
4.600000000000000000e+01 8.411987434702535182e+00 2.755548867054502971e+00 8.487095498094044288e+00 2.479271098370521287e+01
4.700000000000000000e+01 8.421491356652056837e+00 2.757587634599261150e+00 8.496476897520302884e+00 2.482052435974474847e+01
4.800000000000000000e+01 8.428567866143680476e+00 2.758539403560929859e+00 8.505968535120565832e+00 2.484365513170025963e+01
4.900000000000000000e+01 8.434692654098885356e+00 2.759501362664817048e+00 8.513571822943792000e+00 2.486151239940549473e+01
5.000000000000000000e+01 8.439490354166593988e+00 2.758952875711107922e+00 8.517677979119966380e+00 2.487602502535702342e+01
5.100000000000000000e+01 8.444198480828987385e+00 2.758706098639562843e+00 8.519751730678800428e+00 2.488894977413645293e+01
5.200000000000000000e+01 8.449800682152025288e+00 2.760327613619397713e+00 8.524622104779998821e+00 2.490291635044733809e+01
5.300000000000000000e+01 8.454920040411991522e+00 2.761821639030729525e+00 8.530974369404660251e+00 2.491728592623482186e+01
5.400000000000000000e+01 8.461273568225838204e+00 2.762611952860697162e+00 8.535561163902185555e+00 2.493074707495261322e+01
5.500000000000000000e+01 8.466966258095681042e+00 2.763303143358617930e+00 8.540398240484101677e+00 2.494631792482990917e+01
5.600000000000000000e+01 8.470534142118927079e+00 2.763635834895015186e+00 8.545696029256912851e+00 2.496217669467739597e+01
5.700000000000000000e+01 8.474068862303926863e+00 2.764315894733193613e+00 8.550601033355679448e+00 2.497523536143121703e+01
5.800000000000000000e+01 8.478288407080572853e+00 2.764785726858256520e+00 8.555677856141175042e+00 2.498627965132482842e+01
5.900000000000000000e+01 8.481836692118747578e+00 2.764519139236226053e+00 8.559479482591948241e+00 2.499445975223537530e+01
6.000000000000000000e+01 8.485188511464132333e+00 2.764714113874751078e+00 8.565123075298169297e+00 2.500452973078493457e+01
6.100000000000000000e+01 8.489214797907015608e+00 2.765521638609592880e+00 8.572206404169495642e+00 2.501837104846416793e+01
6.200000000000000000e+01 8.492471769234214207e+00 2.766527196267055455e+00 8.579240410390310601e+00 2.503283243885908504e+01
6.300000000000000000e+01 8.496376533477269177e+00 2.766646910713222329e+00 8.584291390305560654e+00 2.504543711905783709e+01
6.400000000000000000e+01 8.499945601751171864e+00 2.767036038256932784e+00 8.586205280552427155e+00 2.505503173580989795e+01
6.500000000000000000e+01 8.503648912122024228e+00 2.766929492529991652e+00 8.589902401983744440e+00 2.506598824052404595e+01
6.600000000000000000e+01 8.509374968122317640e+00 2.767898148103958178e+00 8.595816286292453867e+00 2.508012017936362170e+01
6.700000000000000000e+01 8.515535858837496974e+00 2.769685593601402207e+00 8.600515559287696732e+00 2.509632476380045318e+01
