# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.951257622179430662e-01 6.233364345133685092e-01 7.950811417250643887e-01 9.749977145648773824e-01
2.000000000000000000e+00 2.170048540978550378e+00 1.176538846364818314e+00 2.169922995032989466e+00 3.666956133196201062e+00
3.000000000000000000e+00 3.558429524160920732e+00 1.715096043346439947e+00 3.562389134291412685e+00 7.653590437369941490e+00
4.000000000000000000e+00 4.910256899865991009e+00 2.166613849966637861e+00 4.923477642462828818e+00 1.257176516295155189e+01
5.000000000000000000e+00 6.175905307717057369e+00 2.556890373064468314e+00 6.197979245221882039e+00 1.789459780601576355e+01
6.000000000000000000e+00 7.002110617707637985e+00 2.788373057552353540e+00 7.041890656362649104e+00 2.140412738980588614e+01
7.000000000000000000e+00 7.234487313194784441e+00 2.815732343116359893e+00 7.293991862501592038e+00 2.209105163776314384e+01
8.000000000000000000e+00 7.266088502818088379e+00 2.768428538990538534e+00 7.335194741997019818e+00 2.186092910449995941e+01
9.000000000000000000e+00 7.344539404328178200e+00 2.722007459376905913e+00 7.413050110657113834e+00 2.179817163421940052e+01
1.000000000000000000e+01 7.479139874931391319e+00 2.693139639886608983e+00 7.543656499607180876e+00 2.199142454329127716e+01
1.100000000000000000e+01 7.615125158831673069e+00 2.682298945889804553e+00 7.674762207789111557e+00 2.226564381499593637e+01
1.200000000000000000e+01 7.723157932422374472e+00 2.686344087886745058e+00 7.778686521819738964e+00 2.251075604409378528e+01
1.300000000000000000e+01 7.803399826422983132e+00 2.693172744497188908e+00 7.854819104739283020e+00 2.270549706104918286e+01
1.400000000000000000e+01 7.867293644587319612e+00 2.698980735481907534e+00 7.912390864940583413e+00 2.286653583314008742e+01
1.500000000000000000e+01 7.924326712987183718e+00 2.703904187087923017e+00 7.957701662156035027e+00 2.300815169645673919e+01
1.600000000000000000e+01 7.978546163727822105e+00 2.707577652418671654e+00 7.995911521110465436e+00 2.313926755227274157e+01
1.700000000000000000e+01 8.028216201118295814e+00 2.711234266769054546e+00 8.030357263086010278e+00 2.326025202658060920e+01
1.800000000000000000e+01 8.071506934308315451e+00 2.715362296253133412e+00 8.062497096103321326e+00 2.336961733599476077e+01
1.900000000000000000e+01 8.109087002026894808e+00 2.719328891213684152e+00 8.091798286035929877e+00 2.346553040175985316e+01
2.000000000000000000e+01 8.141837207670217680e+00 2.721960646438417175e+00 8.118396682782920593e+00 2.355037521576853621e+01
2.100000000000000000e+01 8.170056456369936271e+00 2.724436857315437166e+00 8.142084556404830309e+00 2.362288471962589043e+01
2.200000000000000000e+01 8.194393848281311676e+00 2.726261944392219139e+00 8.163894261734727209e+00 2.368513025082939905e+01
2.300000000000000000e+01 8.214911525854768470e+00 2.727517489690567842e+00 8.182387474899446289e+00 2.373540995654037644e+01
2.400000000000000000e+01 8.232840636201139262e+00 2.728883700184679295e+00 8.196583599980762358e+00 2.377494311205657596e+01
2.500000000000000000e+01 8.249567786823700288e+00 2.729501910325371039e+00 8.209150878768877391e+00 2.381032406957571013e+01
2.600000000000000000e+01 8.265171847983161513e+00 2.729732930571598715e+00 8.220799522414024452e+00 2.384180657777150003e+01
2.700000000000000000e+01 8.278296866707504975e+00 2.729580513388583984e+00 8.231050075308584013e+00 2.386742652157738220e+01
2.800000000000000000e+01 8.289144262696982679e+00 2.729284882140890378e+00 8.240620117052040783e+00 2.388919602092274985e+01
2.900000000000000000e+01 8.298283316264779330e+00 2.729292295489262443e+00 8.249725263793312280e+00 2.390828537516386021e+01
3.000000000000000000e+01 8.305663502087224259e+00 2.729521037492001589e+00 8.258492036755940902e+00 2.392539036821039389e+01
3.100000000000000000e+01 8.312536399174524249e+00 2.729479711213237181e+00 8.265846016926616358e+00 2.394245025333910704e+01
3.200000000000000000e+01 8.319575920523886836e+00 2.729738099025561748e+00 8.271233204689485419e+00 2.395769350975200851e+01
3.300000000000000000e+01 8.326110911479629451e+00 2.729772277896485022e+00 8.276946477956226289e+00 2.397054474010620950e+01
3.400000000000000000e+01 8.331757707255752265e+00 2.729435573184327168e+00 8.283424230022616186e+00 2.398089127378881713e+01
3.500000000000000000e+01 8.336305716285501433e+00 2.729349209755405514e+00 8.289355915947629327e+00 2.398859496134682701e+01
3.600000000000000000e+01 8.340407553821775011e+00 2.728903618146460097e+00 8.294360653726943866e+00 2.399455225520456381e+01
3.700000000000000000e+01 8.344615057031637306e+00 2.728458562096932383e+00 8.298194024618668507e+00 2.399915192137419950e+01
