# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.563972343870969617e-01 5.208897411532118493e-01 6.552140620404652838e-01 7.965097304779727994e-01
2.000000000000000000e+00 1.312838672499285320e+00 7.667432730054122292e-01 1.296241168574711500e+00 2.030598271595557502e+00
3.000000000000000000e+00 1.655198240676533761e+00 8.713658560165231659e-01 1.636065804845955540e+00 2.890468647894993470e+00
4.000000000000000000e+00 1.887402434410149654e+00 9.423623957109465987e-01 1.876923131200935124e+00 3.481055501198644819e+00
5.000000000000000000e+00 2.085270087149452056e+00 1.011452821714714290e+00 2.067851203724272224e+00 3.970330866766891287e+00
6.000000000000000000e+00 2.230684435444039604e+00 1.058933162548258977e+00 2.202133890053598275e+00 4.347108548434020392e+00
7.000000000000000000e+00 2.323948975804521311e+00 1.073325509835252989e+00 2.292874911525720982e+00 4.636079664174862280e+00
8.000000000000000000e+00 2.413999239418650244e+00 1.109688637048871662e+00 2.381230052595160185e+00 4.891432123047232849e+00
9.000000000000000000e+00 2.483437525955570990e+00 1.123063127288556284e+00 2.438776762575736612e+00 5.108798347487327085e+00
1.000000000000000000e+01 2.549861753082177884e+00 1.140283139894296971e+00 2.482483229712667328e+00 5.303738894010475491e+00
1.100000000000000000e+01 2.616931649879011612e+00 1.158142546125379146e+00 2.523879807228836203e+00 5.493057397289567767e+00
1.200000000000000000e+01 2.681947114795937281e+00 1.186498691334808786e+00 2.587903306519617530e+00 5.689032116110847248e+00
1.300000000000000000e+01 2.735703299445569225e+00 1.206893208929747718e+00 2.649712442572099480e+00 5.868239229863139172e+00
1.400000000000000000e+01 2.775404265055275044e+00 1.224362820457071122e+00 2.695148480083185749e+00 6.012012172924564801e+00
1.500000000000000000e+01 2.814719748945177180e+00 1.239051848089789853e+00 2.733951631366265289e+00 6.149423410758933173e+00
1.600000000000000000e+01 2.855327102569165998e+00 1.250814412690826938e+00 2.767169005566247453e+00 6.287164122957436874e+00
1.700000000000000000e+01 2.896531502688548088e+00 1.264038780200261725e+00 2.793972862486030273e+00 6.417888821211742645e+00
1.800000000000000000e+01 2.916061399557740685e+00 1.269847313823938117e+00 2.812379659862363823e+00 6.514633319027973712e+00
1.900000000000000000e+01 2.936853722808535405e+00 1.275257732215177908e+00 2.828233271755743239e+00 6.604916536579541031e+00
2.000000000000000000e+01 2.965097004435972572e+00 1.288853791043579555e+00 2.863852358717279944e+00 6.719078890749991650e+00
2.100000000000000000e+01 3.004784821553837748e+00 1.295771364602859910e+00 2.901063114134565968e+00 6.853499581548468278e+00
2.200000000000000000e+01 3.044054013733699549e+00 1.310802590575824489e+00 2.942926674759014816e+00 6.973378342330263102e+00
2.300000000000000000e+01 3.078357490977762012e+00 1.328977819926860482e+00 2.969228671390552687e+00 7.068108045132881934e+00
2.400000000000000000e+01 3.093264259782551484e+00 1.322975694531722590e+00 2.970286952646271850e+00 7.137262325951561515e+00
2.500000000000000000e+01 3.126092208581366272e+00 1.337172143784271849e+00 2.991252497163277457e+00 7.221150680991686777e+00
2.600000000000000000e+01 3.147699066069790774e+00 1.343414180371472533e+00 3.011781404996516365e+00 7.300835475721911827e+00
2.700000000000000000e+01 3.153573410058939430e+00 1.351277608117513962e+00 3.030528633150102902e+00 7.369827128431467145e+00
2.800000000000000000e+01 3.171638928948344649e+00 1.355418629114241602e+00 3.053148722045745167e+00 7.459829862674253853e+00
2.900000000000000000e+01 3.196001562073977009e+00 1.366272565157018226e+00 3.075751993732270151e+00 7.542713526449091432e+00
3.000000000000000000e+01 3.218190561233344571e+00 1.370314935720613247e+00 3.091626470155562245e+00 7.615807729913414370e+00
3.100000000000000000e+01 3.241745741273698300e+00 1.378642341642081881e+00 3.111803409982566659e+00 7.692353415602514843e+00
3.200000000000000000e+01 3.262031046756554087e+00 1.384405656494804182e+00 3.131565563891919535e+00 7.769006804329309013e+00
3.300000000000000000e+01 3.274568637507771829e+00 1.384724130016947941e+00 3.155560148342690940e+00 7.843820454236883677e+00
3.400000000000000000e+01 3.286893058418671298e+00 1.395303591050102376e+00 3.183385633164962147e+00 7.918920064496542288e+00
3.500000000000000000e+01 3.315801753514100891e+00 1.409466955080047379e+00 3.219454384651166734e+00 8.011807073301653759e+00
3.600000000000000000e+01 3.358427361778565601e+00 1.421762561832816241e+00 3.252054713225103644e+00 8.101842686387143999e+00
3.700000000000000000e+01 3.384974127512403452e+00 1.431062579118483002e+00 3.263011804282108574e+00 8.167455883137327177e+00
3.800000000000000000e+01 3.394016573494476052e+00 1.422348063335413082e+00 3.260490008681094398e+00 8.211383641278342083e+00
3.900000000000000000e+01 3.414559804342237381e+00 1.427747880382637113e+00 3.270648999268020329e+00 8.259927020957952948e+00
4.000000000000000000e+01 3.428517984310090583e+00 1.430637056073911229e+00 3.282678068634532487e+00 8.309096634737825227e+00
4.100000000000000000e+01 3.440847990141265633e+00 1.429637792946430341e+00 3.291649898080760472e+00 8.362677915352707103e+00
4.200000000000000000e+01 3.463726447798927133e+00 1.446308389320248189e+00 3.318265791233882656e+00 8.429913519641219821e+00
4.300000000000000000e+01 3.474726846441851702e+00 1.445145731088093299e+00 3.326288707135292011e+00 8.485671523204787903e+00
4.400000000000000000e+01 3.492047644675446261e+00 1.450564067986724659e+00 3.342741963620828649e+00 8.546045671786934861e+00
4.500000000000000000e+01 3.515802681995353396e+00 1.460118791266932670e+00 3.355712166425172782e+00 8.596583037957419293e+00
4.600000000000000000e+01 3.515131265368862223e+00 1.451142253550465222e+00 3.346658250890632402e+00 8.621517539192836921e+00
