# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.994472447668925730e-01 5.528779046361076421e-01 6.985659714953608157e-01 8.516088970250917933e-01
2.000000000000000000e+00 1.532513756396659321e+00 8.752147451200206207e-01 1.519976579854605436e+00 2.431594394845296936e+00
3.000000000000000000e+00 2.059061635912590837e+00 1.050830988175485592e+00 2.041000073201493237e+00 3.784492520081986111e+00
4.000000000000000000e+00 2.425324672563588191e+00 1.152453049886081216e+00 2.416646558956400348e+00 4.801528404862873245e+00
5.000000000000000000e+00 2.730002814369577369e+00 1.247622454874837583e+00 2.716579590743545491e+00 5.636028429032515774e+00
6.000000000000000000e+00 2.961959087573739158e+00 1.311179267953554106e+00 2.931240633148822994e+00 6.305999479968986243e+00
7.000000000000000000e+00 3.130208591202503499e+00 1.344335307453027317e+00 3.080966092274188384e+00 6.827974716195386762e+00
8.000000000000000000e+00 3.261978852576668420e+00 1.380160738188066727e+00 3.210133128810890746e+00 7.274418993186947624e+00
9.000000000000000000e+00 3.385648990067721353e+00 1.418387873989504389e+00 3.316714707701715170e+00 7.678079036991221074e+00
1.000000000000000000e+01 3.497951160817800886e+00 1.450720546256770049e+00 3.410718874606140094e+00 8.051221907811376255e+00
1.100000000000000000e+01 3.609081154476752928e+00 1.482149221741418499e+00 3.496059074944943390e+00 8.397971131637936182e+00
1.200000000000000000e+01 3.720398752371074202e+00 1.517839126502918967e+00 3.583524832125466908e+00 8.731753970362733597e+00
1.300000000000000000e+01 3.818326592697405708e+00 1.546030613278381649e+00 3.663271988734029705e+00 9.044326852280097029e+00
1.400000000000000000e+01 3.902484361016549830e+00 1.574358218853962432e+00 3.734051660437399445e+00 9.324300291097079807e+00
1.500000000000000000e+01 3.960993893647128061e+00 1.592013377715650879e+00 3.796767853805020909e+00 9.572884332715794642e+00
1.600000000000000000e+01 4.019356236731046472e+00 1.613460573440558044e+00 3.860003088525941983e+00 9.805514593078784813e+00
1.700000000000000000e+01 4.081503841784475561e+00 1.632777648699266448e+00 3.919390055285035146e+00 1.003619375420431226e+01
1.800000000000000000e+01 4.130771466305660056e+00 1.647902017871540448e+00 3.963677653075905472e+00 1.023611059081825303e+01
