# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.087240829713202572e-01 6.326610040761838638e-01 8.087168364703448686e-01 9.932059081064391615e-01
2.000000000000000000e+00 2.285420642403640290e+00 1.225974616251984672e+00 2.284933211499340810e+00 3.909961209329273935e+00
3.000000000000000000e+00 3.877953327082321433e+00 1.859444039657719649e+00 3.874684281871985547e+00 8.625261660785096041e+00
4.000000000000000000e+00 5.506886156875390625e+00 2.442994062765849517e+00 5.499086937519652274e+00 1.501260985539501824e+01
5.000000000000000000e+00 7.086448855602174746e+00 2.985376693543095872e+00 7.076044963726309867e+00 2.257181583115654533e+01
6.000000000000000000e+00 7.711646038311086748e+00 3.182152757310459101e+00 7.697353704936933383e+00 2.565834282899714225e+01
7.000000000000000000e+00 6.916747279307542406e+00 2.900522033628698093e+00 6.884658451909779764e+00 2.137800832225813252e+01
8.000000000000000000e+00 5.912661437688812249e+00 2.518904028075914070e+00 5.861366411524850051e+00 1.662308964828975633e+01
9.000000000000000000e+00 5.269997463520467385e+00 2.214005568968995696e+00 5.205494550011971810e+00 1.379025234746458040e+01
1.000000000000000000e+01 5.154778494912514830e+00 2.012050337542544032e+00 5.087501942375030950e+00 1.306758364156970664e+01
1.100000000000000000e+01 5.525441267480080576e+00 1.918911696111955445e+00 5.479469096578883480e+00 1.411063977145833626e+01
1.200000000000000000e+01 6.208452818147312868e+00 2.097800592491717353e+00 6.195821407239804124e+00 1.630316871543922375e+01
1.300000000000000000e+01 6.908764104541516460e+00 2.366813136170990983e+00 6.923217127156075179e+00 1.886633476035334667e+01
1.400000000000000000e+01 7.418610996499026555e+00 2.590987864955772935e+00 7.450324068180604442e+00 2.102311962346923124e+01
1.500000000000000000e+01 7.661717883829787468e+00 2.707406260029098455e+00 7.702858205862862739e+00 2.220025053069000620e+01
1.600000000000000000e+01 7.675577447536440445e+00 2.719661151974420932e+00 7.719246012214973085e+00 2.236220949701204574e+01
1.700000000000000000e+01 7.528846341696725730e+00 2.660892431269913594e+00 7.568581231659048392e+00 2.172655736723992703e+01
1.800000000000000000e+01 7.333908129056809777e+00 2.576263291038150438e+00 7.368152730061795275e+00 2.080836577031000800e+01
1.900000000000000000e+01 7.234418166055752053e+00 2.519994324844077482e+00 7.263920164524444445e+00 2.033628954527135591e+01
