# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 6.522000670197631855e-01 5.192880467040484893e-01 6.522688942815634272e-01 7.908853116287672957e-01
2.000000000000000000e+00 1.274065421710794732e+00 7.622443190229153398e-01 1.279092912335680454e+00 1.965090996434519122e+00
3.000000000000000000e+00 1.562182565352780106e+00 8.374711851320838507e-01 1.576899986262201958e+00 2.710043578876788484e+00
4.000000000000000000e+00 1.751777237148100630e+00 8.951296922188431981e-01 1.766381698751704254e+00 3.215670223646547754e+00
5.000000000000000000e+00 1.933787451412620984e+00 9.866319067318362057e-01 1.960851545962305043e+00 3.660070766813848131e+00
6.000000000000000000e+00 2.055734043119361143e+00 1.012658807275403694e+00 2.088104254983699892e+00 4.014502192472854780e+00
7.000000000000000000e+00 2.135167839138301549e+00 1.036676405202779927e+00 2.178025236485118921e+00 4.277279110949751662e+00
8.000000000000000000e+00 2.205810806541528724e+00 1.054683131842935717e+00 2.252569355149209862e+00 4.508316118940536299e+00
9.000000000000000000e+00 2.294474265199025087e+00 1.089860151091020413e+00 2.336586893272702969e+00 4.752686346717017507e+00
1.000000000000000000e+01 2.358839237429571245e+00 1.107266201935831251e+00 2.396327482321237490e+00 4.966688578736533799e+00
1.100000000000000000e+01 2.407760750864796684e+00 1.127933041885775589e+00 2.447620516379990008e+00 5.137258262203125092e+00
1.200000000000000000e+01 2.452968808062082839e+00 1.146744450691375095e+00 2.510270675250499739e+00 5.315044867838106590e+00
1.300000000000000000e+01 2.512164008805146675e+00 1.176139056316843234e+00 2.580105883725175797e+00 5.497254234483017754e+00
1.400000000000000000e+01 2.561492911937183869e+00 1.197616813432092142e+00 2.613555639070076708e+00 5.632791394934447027e+00
1.500000000000000000e+01 2.577316524509057682e+00 1.183755490499169616e+00 2.618465123962804064e+00 5.723827902705547643e+00
1.600000000000000000e+01 2.620488997058334046e+00 1.200372573314739677e+00 2.649563251131594299e+00 5.848787843400184983e+00
1.700000000000000000e+01 2.672803083808314994e+00 1.220323432571352562e+00 2.693214248289497181e+00 5.992841630480357118e+00
1.800000000000000000e+01 2.698135158141858891e+00 1.230651692594248114e+00 2.728418248043669614e+00 6.103943398826145561e+00
1.900000000000000000e+01 2.734065415204844474e+00 1.241804048131567972e+00 2.757672651472617975e+00 6.213212673786980389e+00
2.000000000000000000e+01 2.769551991496170817e+00 1.259211714778856184e+00 2.795397544230534326e+00 6.324266301290085934e+00
