# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.413996704730015930e-01 5.848409150711013638e-01 7.408588981890353864e-01 9.045049223967894791e-01
2.000000000000000000e+00 1.770518732709730259e+00 9.923719473035355065e-01 1.755993188100660962e+00 2.861126990886831312e+00
3.000000000000000000e+00 2.556044694672503503e+00 1.256427301500909310e+00 2.504373844957648476e+00 4.877279161632390725e+00
4.000000000000000000e+00 3.145961502451886549e+00 1.422037563751018974e+00 3.069176176890591634e+00 6.599939472275818453e+00
5.000000000000000000e+00 3.601779541374281912e+00 1.544529174401497729e+00 3.524172357745762874e+00 8.054513136881135793e+00
6.000000000000000000e+00 3.994680087993162321e+00 1.648653584143175310e+00 3.902785579257179727e+00 9.319855553712638851e+00
7.000000000000000000e+00 4.317335022906954478e+00 1.720897892853884059e+00 4.216718856815981908e+00 1.040474755961513864e+01
8.000000000000000000e+00 4.576352440339908512e+00 1.776887235280354416e+00 4.473211674168461549e+00 1.132674865283622267e+01
9.000000000000000000e+00 4.799676701694377989e+00 1.838319437452401672e+00 4.694295698571282038e+00 1.212880421317059465e+01
1.000000000000000000e+01 4.996876731936896299e+00 1.888141924871739485e+00 4.888498011517723008e+00 1.284519734336573116e+01
1.100000000000000000e+01 5.165217485438743594e+00 1.937838226532848873e+00 5.069686514233015195e+00 1.349058814653973037e+01
1.200000000000000000e+01 5.311212077269484411e+00 1.987402216466362725e+00 5.233197300308867206e+00 1.406694090519930462e+01
1.300000000000000000e+01 5.440898664626395487e+00 2.028549512844209257e+00 5.365953506948778262e+00 1.457775730990843499e+01
1.400000000000000000e+01 5.555580397322223085e+00 2.063365311904459709e+00 5.482076502914158489e+00 1.503541468800309033e+01
1.500000000000000000e+01 5.654007686034255187e+00 2.093783007275536345e+00 5.587852701949458378e+00 1.544664493066533772e+01
1.600000000000000000e+01 5.740836996805525061e+00 2.123029555451544148e+00 5.687260939833496565e+00 1.582460323814408198e+01
1.700000000000000000e+01 5.818846302769202339e+00 2.143361660408112268e+00 5.773598302577019226e+00 1.617190607157845150e+01
1.800000000000000000e+01 5.892383263359860734e+00 2.165171984592120236e+00 5.862915370112703251e+00 1.650811203599086596e+01
1.900000000000000000e+01 5.972837136286859305e+00 2.191451157988050458e+00 5.955228730981429131e+00 1.684430161105985846e+01
2.000000000000000000e+01 6.054655933329780026e+00 2.212760412712125202e+00 6.042639108364316947e+00 1.716760327989961965e+01
2.100000000000000000e+01 6.133701187104912300e+00 2.236379872456926154e+00 6.131350036879203991e+00 1.747459529331018757e+01
2.200000000000000000e+01 6.210673858859771634e+00 2.259255434689017683e+00 6.212039964071149001e+00 1.776518941452762590e+01
2.300000000000000000e+01 6.278683293776680330e+00 2.275516636210353827e+00 6.281839815223884571e+00 1.802946206262635087e+01
2.400000000000000000e+01 6.341818150800755838e+00 2.289512273572748668e+00 6.351097897817563620e+00 1.827584525209600841e+01
2.500000000000000000e+01 6.408502487876597264e+00 2.307127068687234939e+00 6.422221859413410172e+00 1.851891309219228177e+01
2.600000000000000000e+01 6.471241313254239458e+00 2.326098327416528555e+00 6.485404356060985975e+00 1.874946268067692046e+01
2.700000000000000000e+01 6.526071308945675220e+00 2.336294344460038364e+00 6.536132319922287159e+00 1.896109815920257091e+01
2.800000000000000000e+01 6.583825470404758740e+00 2.349352988183016411e+00 6.593403845170292321e+00 1.917523397777390315e+01
2.900000000000000000e+01 6.649124437422331724e+00 2.367045597636520782e+00 6.658089615966783725e+00 1.939153906767335656e+01
3.000000000000000000e+01 6.704605626764033488e+00 2.381574964681012929e+00 6.712459174397170436e+00 1.958629475562284128e+01
3.100000000000000000e+01 6.745012651493157207e+00 2.391797337427082670e+00 6.758841721112213818e+00 1.975656330142203032e+01
3.200000000000000000e+01 6.785389439775006082e+00 2.400144385272760861e+00 6.809775256407039734e+00 1.992039916281867562e+01
3.300000000000000000e+01 6.829374911600850417e+00 2.412216801368145980e+00 6.862953178622019479e+00 2.008684668972729881e+01
3.400000000000000000e+01 6.873588103005736194e+00 2.424591758527134822e+00 6.910991331483724132e+00 2.024767175626109861e+01
3.500000000000000000e+01 6.911081925835590667e+00 2.432035660576203906e+00 6.950283692771398236e+00 2.039220632100552422e+01
3.600000000000000000e+01 6.943696184894679213e+00 2.436623277739515370e+00 6.984606700093482168e+00 2.052519075668720561e+01
3.700000000000000000e+01 6.978955595484879204e+00 2.442505878611325176e+00 7.020715020936763473e+00 2.065916265023903620e+01
3.800000000000000000e+01 7.017337222002991481e+00 2.455012080318430101e+00 7.069984840481441601e+00 2.079578908367617274e+01
3.900000000000000000e+01 7.048280895582230698e+00 2.462980228806943561e+00 7.112283261185792682e+00 2.092275215295619262e+01
4.000000000000000000e+01 7.076694366003771108e+00 2.468783572170873963e+00 7.143309140039082017e+00 2.104256177935359418e+01
4.100000000000000000e+01 7.109000404976192122e+00 2.476174835698015553e+00 7.173797186244852853e+00 2.116001396064026352e+01
4.200000000000000000e+01 7.139143029051359335e+00 2.482856460764085949e+00 7.206106987403661179e+00 2.127057067371625720e+01
4.300000000000000000e+01 7.162433826825920669e+00 2.485856586671033597e+00 7.238975926764105395e+00 2.136909637799993789e+01
4.400000000000000000e+01 7.189068894007972332e+00 2.492636932387958026e+00 7.270946850989248311e+00 2.146704308887500545e+01
4.500000000000000000e+01 7.220173584906101283e+00 2.500872665435106335e+00 7.301426050883299546e+00 2.157186274426171835e+01
4.600000000000000000e+01 7.246297630688857794e+00 2.508165773659615017e+00 7.330379552148428957e+00 2.166635309037379997e+01
4.700000000000000000e+01 7.268503344651128906e+00 2.509676461584345208e+00 7.353841456228640716e+00 2.175317340927090015e+01
4.800000000000000000e+01 7.288141597566031749e+00 2.513074220543110027e+00 7.376848945816234959e+00 2.183731595113776081e+01
4.900000000000000000e+01 7.312649611089504731e+00 2.520126856102216095e+00 7.402379960262951641e+00 2.192071433413032366e+01
5.000000000000000000e+01 7.340251769311811003e+00 2.527320117779531916e+00 7.427360409071978253e+00 2.200476511308393412e+01
5.100000000000000000e+01 7.365544742459725569e+00 2.533423259184401477e+00 7.454469265947608392e+00 2.208555885044876987e+01
5.200000000000000000e+01 7.384643989350935911e+00 2.536452249340567455e+00 7.477656198689475175e+00 2.216011621215130134e+01
5.300000000000000000e+01 7.403950731723975665e+00 2.536959753845091647e+00 7.492316417499520931e+00 2.222668094203854139e+01
5.400000000000000000e+01 7.428419719736819360e+00 2.536325312773885621e+00 7.508896715489889573e+00 2.229236474669739110e+01
5.500000000000000000e+01 7.457147828883418761e+00 2.542982910439353095e+00 7.531742448683524493e+00 2.236801085169724956e+01
5.600000000000000000e+01 7.485453072160191290e+00 2.550636278979490079e+00 7.554492241154560972e+00 2.244802763523513178e+01
5.700000000000000000e+01 7.510811685950818273e+00 2.558640646968547649e+00 7.578313551106269585e+00 2.252399742918871794e+01
5.800000000000000000e+01 7.531492898661443114e+00 2.564843334958434973e+00 7.596531271960500931e+00 2.258765531983710062e+01
5.900000000000000000e+01 7.543337523672281719e+00 2.562603102319228388e+00 7.604201363222305332e+00 2.264044014294807994e+01
6.000000000000000000e+01 7.556927737664270062e+00 2.566553034154311685e+00 7.613828624766031616e+00 2.269226590343386718e+01
6.100000000000000000e+01 7.571954892568755646e+00 2.568895821550694514e+00 7.628554229869060066e+00 2.274374686369308307e+01
6.200000000000000000e+01 7.586908602869402607e+00 2.573141041309387145e+00 7.647689015146033498e+00 2.279483575875576662e+01
6.300000000000000000e+01 7.598783905412245687e+00 2.572118757565737823e+00 7.659221728582327415e+00 2.283885805137246905e+01
6.400000000000000000e+01 7.608107149375284095e+00 2.567876302128248245e+00 7.671487908927185018e+00 2.288422529589669452e+01
6.500000000000000000e+01 7.620069551603798175e+00 2.571318809930983385e+00 7.692620916517173058e+00 2.293911383165641382e+01
6.600000000000000000e+01 7.637304613723810753e+00 2.580679894673022723e+00 7.718321708031099071e+00 2.299808404840929299e+01
6.700000000000000000e+01 7.654876928620122811e+00 2.586119540902648506e+00 7.743826097931092001e+00 2.305688267060299879e+01
6.800000000000000000e+01 7.670681515962995078e+00 2.589778637229039226e+00 7.763088513775843857e+00 2.310816737476330829e+01
6.900000000000000000e+01 7.680022884475765643e+00 2.588120092627846702e+00 7.774239969159387975e+00 2.315125633965154250e+01
7.000000000000000000e+01 7.692081309322453819e+00 2.593386226990096688e+00 7.789857552640814475e+00 2.319971420708332843e+01
7.100000000000000000e+01 7.705169368497313265e+00 2.597145860928830263e+00 7.804065362889262225e+00 2.325093707496552753e+01
7.200000000000000000e+01 7.719033516904844738e+00 2.600173967765390337e+00 7.814662595192578110e+00 2.329556519141284454e+01
7.300000000000000000e+01 7.729444539530807567e+00 2.601365456295328116e+00 7.817252968779468070e+00 2.332995567007375826e+01
7.400000000000000000e+01 7.736234426714641010e+00 2.599283654284025413e+00 7.822863515193796857e+00 2.335749668096472220e+01
7.500000000000000000e+01 7.746005401756423048e+00 2.599123135369498794e+00 7.835561353511750760e+00 2.339089032325064466e+01
7.600000000000000000e+01 7.765660262101194533e+00 2.604646628952377974e+00 7.854902398879774594e+00 2.344073873942215869e+01
7.700000000000000000e+01 7.778790694963780616e+00 2.612213110738080601e+00 7.879794980083835831e+00 2.349210088427088650e+01
7.800000000000000000e+01 7.784250244023350973e+00 2.611637704530183512e+00 7.896965118894175184e+00 2.353364590780693888e+01
7.900000000000000000e+01 7.795000507393826439e+00 2.614091811708905144e+00 7.906043499227970450e+00 2.357278986404947219e+01
8.000000000000000000e+01 7.810842289859066589e+00 2.617063463803293910e+00 7.917232430867226611e+00 2.361269476907425258e+01
8.100000000000000000e+01 7.821597012136871641e+00 2.616412936931733935e+00 7.928210583440253423e+00 2.364546036309361199e+01
8.200000000000000000e+01 7.830448635573998395e+00 2.615828017197641131e+00 7.935995063241815473e+00 2.367309855292803888e+01
8.300000000000000000e+01 7.841904163432180219e+00 2.617389818917748912e+00 7.942672533907437327e+00 2.370456602780212307e+01
8.400000000000000000e+01 7.853147732098574529e+00 2.621201177337572297e+00 7.956376694507051539e+00 2.374136527062572455e+01
8.500000000000000000e+01 7.857129582508602716e+00 2.623320876755738773e+00 7.969864284600595816e+00 2.377134801973690159e+01
8.600000000000000000e+01 7.858472757424317834e+00 2.624042905457029118e+00 7.976372637869646454e+00 2.379563941489736578e+01
8.700000000000000000e+01 7.863986044383448615e+00 2.623659467877763607e+00 7.984631231518660499e+00 2.382646243256454355e+01
8.800000000000000000e+01 7.873679735136319913e+00 2.625832939990514703e+00 7.998946429349382825e+00 2.386247021780220479e+01
