# t lat1 vert lat2 area
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.378711173559822090e-01 5.811643405624464798e-01 7.372674272629868852e-01 9.010971108197223245e-01
2.000000000000000000e+00 1.765547211325045884e+00 9.874992018643948821e-01 1.757014324903830804e+00 2.869717510316959874e+00
3.000000000000000000e+00 2.554382017818280115e+00 1.271659340851108766e+00 2.541375224564233370e+00 4.958635406247838162e+00
4.000000000000000000e+00 3.155361262462250682e+00 1.439689353788806248e+00 3.150316249133700452e+00 6.788195701605246768e+00
5.000000000000000000e+00 3.657253360564612699e+00 1.578628293694513296e+00 3.643399990106194419e+00 8.360755246656703221e+00
6.000000000000000000e+00 4.071199999918657220e+00 1.689387758984317367e+00 4.043459461870233085e+00 9.706025139402026269e+00
7.000000000000000000e+00 4.403556580886676564e+00 1.764838899911780334e+00 4.342395676041576280e+00 1.080482145038225816e+01
8.000000000000000000e+00 4.663385763332968281e+00 1.819097937213436600e+00 4.572173588162113944e+00 1.169216736474934137e+01
9.000000000000000000e+00 4.872067553903209891e+00 1.876309779827978863e+00 4.768464903863417703e+00 1.244557188366111156e+01
1.000000000000000000e+01 5.058809997520916646e+00 1.930544069577420752e+00 4.938683980252663197e+00 1.310830369263386963e+01
1.100000000000000000e+01 5.224596308526496813e+00 1.974922397014550635e+00 5.089498644519845350e+00 1.370288809862264934e+01
1.200000000000000000e+01 5.367693563178383975e+00 2.017398424924667477e+00 5.230605365682609253e+00 1.423704696551711990e+01
1.300000000000000000e+01 5.492595291008023572e+00 2.054624032295043978e+00 5.350849098831220729e+00 1.470887953628436939e+01
1.400000000000000000e+01 5.602926085685909996e+00 2.085076588948621357e+00 5.448099922089150837e+00 1.513249991456568466e+01
1.500000000000000000e+01 5.696918556967125902e+00 2.110060325217054888e+00 5.542144063992290093e+00 1.552905143321879144e+01
1.600000000000000000e+01 5.791401174176135314e+00 2.140128977256323228e+00 5.646725934136479275e+00 1.591436477821396167e+01
1.700000000000000000e+01 5.888412735383455221e+00 2.171850329897863308e+00 5.747240577236696346e+00 1.627862066487922377e+01
1.800000000000000000e+01 5.972241132557965848e+00 2.197204558430054355e+00 5.840118202008208748e+00 1.661808638986751419e+01
1.900000000000000000e+01 6.051225416848821759e+00 2.218368722235659174e+00 5.930765667677225572e+00 1.693775577028860724e+01
2.000000000000000000e+01 6.140894989659035907e+00 2.244743274776349384e+00 6.020457830655568721e+00 1.724664837754077240e+01
2.100000000000000000e+01 6.228502678477517485e+00 2.268221172967737953e+00 6.099494198431541392e+00 1.753709521288559969e+01
2.200000000000000000e+01 6.296224019332679944e+00 2.282142640141413548e+00 6.161149616832060083e+00 1.779273285236437374e+01
2.300000000000000000e+01 6.353937656124985622e+00 2.291748876619752462e+00 6.211544827300070182e+00 1.802202443431264456e+01
2.400000000000000000e+01 6.420605381928774946e+00 2.312402471935933068e+00 6.277850505498745015e+00 1.825713047543377598e+01
2.500000000000000000e+01 6.495588461657368917e+00 2.334482354147471739e+00 6.348796261319909817e+00 1.849144129896464150e+01
2.600000000000000000e+01 6.554807148451901710e+00 2.347525316849264687e+00 6.406326650172304404e+00 1.869560118462048237e+01
2.700000000000000000e+01 6.601296422024749866e+00 2.354327132056338812e+00 6.449844210179880299e+00 1.888007719129743123e+01
2.800000000000000000e+01 6.652444787318049890e+00 2.366595783646323170e+00 6.500680929459323742e+00 1.906666689396623227e+01
2.900000000000000000e+01 6.711072309005693626e+00 2.381677170463189608e+00 6.557656442599790303e+00 1.925719684540719356e+01
3.000000000000000000e+01 6.761664378266193154e+00 2.395467384427485857e+00 6.609718489822708598e+00 1.943431635636382282e+01
3.100000000000000000e+01 6.803530800786784738e+00 2.403755703115973308e+00 6.651433671228545563e+00 1.959532678865483746e+01
3.200000000000000000e+01 6.850178830764757976e+00 2.411408685532691720e+00 6.692498246781472204e+00 1.975400404285787559e+01
3.300000000000000000e+01 6.893992284035249440e+00 2.420177330082802669e+00 6.738995344363272189e+00 1.990736113754539005e+01
3.400000000000000000e+01 6.938055228430762611e+00 2.431256588682090047e+00 6.784892964157188899e+00 2.004762788384086747e+01
3.500000000000000000e+01 6.980894911068051378e+00 2.440050752908632603e+00 6.823537983967404408e+00 2.018127925111244281e+01
3.600000000000000000e+01 7.016073821966458013e+00 2.446137115672096130e+00 6.857142488249355239e+00 2.030633547964427521e+01
3.700000000000000000e+01 7.048743865872085124e+00 2.450642902240580678e+00 6.889365475538691719e+00 2.042610115157420125e+01
3.800000000000000000e+01 7.091546142768359928e+00 2.461122195229239029e+00 6.929332689610266272e+00 2.055120170566955906e+01
3.900000000000000000e+01 7.133471591649715116e+00 2.471386639854529665e+00 6.970248614840996559e+00 2.067429063501672104e+01
4.000000000000000000e+01 7.166024314891081382e+00 2.476960416761160744e+00 7.006224520426359348e+00 2.078551491710774357e+01
4.100000000000000000e+01 7.194138305553559043e+00 2.482105261157281362e+00 7.037132549252251401e+00 2.088806890151825968e+01
4.200000000000000000e+01 7.222855129312332423e+00 2.488554485845183351e+00 7.066852051933429912e+00 2.098964595169691805e+01
4.300000000000000000e+01 7.253218902092492648e+00 2.496638672315959706e+00 7.096825658175004214e+00 2.108629975963636483e+01
4.400000000000000000e+01 7.279432660321261572e+00 2.499315166926987963e+00 7.121221129564324848e+00 2.117132997650748294e+01
4.500000000000000000e+01 7.306353046026144327e+00 2.505363232496407466e+00 7.150848554124883627e+00 2.125629075006333579e+01
4.600000000000000000e+01 7.331173214076082800e+00 2.510367471240527948e+00 7.179881984817705565e+00 2.134161730954557257e+01
4.700000000000000000e+01 7.352429342784536637e+00 2.515492816446796898e+00 7.202035870695687514e+00 2.141844740550192938e+01
4.800000000000000000e+01 7.370357682723042814e+00 2.517500667393091973e+00 7.226063463066135562e+00 2.149128235022271127e+01
4.900000000000000000e+01 7.390446965182808192e+00 2.521854300749452271e+00 7.249915421947424221e+00 2.156899438415707593e+01
5.000000000000000000e+01 7.413458215805985851e+00 2.526949460032996253e+00 7.273168795571003820e+00 2.164867766517727432e+01
5.100000000000000000e+01 7.438804676933464144e+00 2.530194419577080023e+00 7.295266709536529781e+00 2.172484244477405468e+01
5.200000000000000000e+01 7.463569847754044417e+00 2.534976801401521929e+00 7.320840040392501358e+00 2.180102587122700442e+01
5.300000000000000000e+01 7.487097333303557534e+00 2.541318429510481369e+00 7.350657676841298560e+00 2.188019871395604099e+01
5.400000000000000000e+01 7.509325878420548328e+00 2.547853336811681135e+00 7.374485109681618411e+00 2.195439171868085992e+01
5.500000000000000000e+01 7.530096733954313670e+00 2.548908556200682352e+00 7.393831146830399881e+00 2.202361054038776444e+01
5.600000000000000000e+01 7.552971233028553222e+00 2.552723933343421070e+00 7.415774669091598881e+00 2.209058462920883414e+01
5.700000000000000000e+01 7.574966001534306770e+00 2.559226907602922374e+00 7.436260953970043275e+00 2.215399993028680115e+01
5.800000000000000000e+01 7.589776120462548903e+00 2.562956564671734494e+00 7.448989866735458598e+00 2.220667573653146221e+01
5.900000000000000000e+01 7.598793383917295863e+00 2.560661242989653363e+00 7.458443784213298677e+00 2.225001309590440712e+01
6.000000000000000000e+01 7.612614268087299685e+00 2.562200529503470658e+00 7.477264587823800213e+00 2.230074901148692490e+01
6.100000000000000000e+01 7.631385525046163743e+00 2.568818957594775299e+00 7.504889110328111457e+00 2.236598552758791314e+01
6.200000000000000000e+01 7.650192915869530985e+00 2.574722588152640324e+00 7.527998684074559854e+00 2.243002113320346425e+01
6.300000000000000000e+01 7.665222701461141597e+00 2.577976778108135747e+00 7.543636347566307521e+00 2.248390101220623194e+01
6.400000000000000000e+01 7.680871591465535886e+00 2.577606728312908047e+00 7.560966389700696233e+00 2.253772399718629416e+01
6.500000000000000000e+01 7.703116002971039933e+00 2.585883917123703579e+00 7.586679584136899024e+00 2.259564977209373993e+01
6.600000000000000000e+01 7.718045091084638543e+00 2.587698812919048130e+00 7.604889551918269319e+00 2.264417080244427893e+01
6.700000000000000000e+01 7.725476383453559137e+00 2.581363325210376036e+00 7.607929127085185428e+00 2.267986376309232455e+01
6.800000000000000000e+01 7.743583850971103466e+00 2.585382649897770335e+00 7.621747125215390106e+00 2.272885597926931567e+01
6.900000000000000000e+01 7.772656639485824748e+00 2.596194520920192428e+00 7.650159678200396662e+00 2.279826584999985073e+01
7.000000000000000000e+01 7.789514840886240243e+00 2.601432963080881677e+00 7.671675491695876481e+00 2.285432060492268036e+01
7.100000000000000000e+01 7.796429427770461551e+00 2.600204368671792832e+00 7.678504210185479018e+00 2.288580815694519188e+01
7.200000000000000000e+01 7.807009304383526249e+00 2.601148147623878693e+00 7.687546321062362686e+00 2.291474821114035265e+01
7.300000000000000000e+01 7.812852901121265958e+00 2.602159897539118472e+00 7.697009558941148022e+00 2.294569443231452865e+01
7.400000000000000000e+01 7.818927190533869975e+00 2.602154188559423709e+00 7.707593645747963684e+00 2.297821560647231465e+01
7.500000000000000000e+01 7.830679517830628100e+00 2.603649919550694136e+00 7.720474899480673336e+00 2.301659732571999939e+01
7.600000000000000000e+01 7.848272131475229507e+00 2.608608985155842497e+00 7.737215556517631931e+00 2.306005697632582141e+01
7.700000000000000000e+01 7.859709030459477219e+00 2.612244554841594901e+00 7.748318611707277093e+00 2.309268108712766931e+01
7.800000000000000000e+01 7.861897000820422754e+00 2.609278303511087138e+00 7.751860876430304970e+00 2.311316908618228183e+01
7.900000000000000000e+01 7.869486326599338000e+00 2.608476305886753277e+00 7.759713455883547439e+00 2.314128811774231664e+01
8.000000000000000000e+01 7.884680734116755296e+00 2.616379452446369491e+00 7.779019078663610642e+00 2.318022811011647377e+01
8.100000000000000000e+01 7.895981269525262469e+00 2.620017186555222199e+00 7.793894219074557483e+00 2.321629870936774154e+01
8.200000000000000000e+01 7.901209491854512379e+00 2.618061778485786917e+00 7.799947488257489958e+00 2.324477118240972473e+01
8.300000000000000000e+01 7.911279461258060586e+00 2.618446238208196775e+00 7.811216142150487762e+00 2.327689965591668297e+01
8.400000000000000000e+01 7.928705488343924301e+00 2.623894177041774967e+00 7.829141852029295912e+00 2.331759546214646406e+01
8.500000000000000000e+01 7.937926791672620830e+00 2.626080271631706875e+00 7.843259922066621037e+00 2.334862695175969804e+01
