# eigenvalue IPR
-7.295549722087125710e-01 4.143287586020316313e-03
-7.245911478789776039e-01 3.311550223162798914e-03
-7.097259814486241991e-01 2.195674373759747000e-03
-7.055537081202044591e-01 2.415493298450411414e-03
-6.941534141020623272e-01 1.241497874423056966e-02
-6.834952345044131850e-01 2.610863285094124249e-03
-6.785060146202930298e-01 3.522526870534500171e-02
-6.731704008795686978e-01 3.301428525783274039e-03
-6.691689984355337906e-01 3.127030041250335006e-03
-6.544473242017708747e-01 2.749541833152236749e-03
-6.479638831213663241e-01 3.061083193198459868e-03
-6.414657849354069574e-01 3.087342343831160456e-03
-6.278027021266173735e-01 1.267950130172770806e-02
-6.183115628423238030e-01 3.634885262054501388e-03
-6.097819303383915646e-01 2.676990476686985643e-03
-6.007297579088783923e-01 3.187919182539051578e-03
-5.922218000725747444e-01 2.480950304481072295e-03
-5.828043687609123502e-01 2.262971360889863472e-03
-5.801617191790829908e-01 3.170608688870168480e-03
-5.665057683256771170e-01 2.354291107567769905e-03
-5.545531015151468068e-01 4.755425794323085362e-03
-5.410267469694448605e-01 2.905325123198077876e-03
-5.337547154924575654e-01 3.427664505093973128e-03
-5.209337888121284843e-01 3.495771226995949763e-03
-5.143588352072625547e-01 3.590505797049281956e-03
-5.088834229435408307e-01 2.962393136777913012e-03
-4.926150798685861032e-01 3.159595535998077371e-03
-4.871794963535887035e-01 3.104439125676887803e-03
-4.836678577990180528e-01 2.948039423706632668e-03
-4.793501107219212409e-01 3.379097202627912890e-03
-4.781711971811513640e-01 9.303878102446259610e-03
-4.710684765743001212e-01 4.125134738501337259e-03
-4.670559858072865778e-01 2.608916287002042977e-03
-4.598944070648475768e-01 2.875240431277695241e-03
-4.575700698351932161e-01 3.273195173470491021e-03
-4.423179378839314779e-01 5.084879135447777608e-03
-4.310165614311672333e-01 3.101644747390698998e-03
-4.245849089022489253e-01 3.540293464976963095e-03
-4.220410756986412992e-01 4.280681625875050293e-03
-4.076612348634738314e-01 2.396072541899331790e-03
-4.039236692485378977e-01 3.358479321193117394e-03
-3.993542141168701654e-01 3.357288933043660936e-03
-3.907510758958248620e-01 3.189723376004761392e-03
-3.803471813482025565e-01 2.756580281991749190e-03
-3.762688507404429172e-01 2.534338522037382635e-03
-3.700128851184677492e-01 4.679512416951942845e-03
-3.689582927751509644e-01 8.285524440016006978e-03
-3.593600263718969567e-01 3.549153623557669678e-03
-3.555901276912544762e-01 3.359389359118618475e-03
-3.433089393653440680e-01 2.571823273624406544e-03
-3.384826978421807686e-01 2.752223206645802289e-03
-3.321027595011702416e-01 2.754006876406551313e-03
-3.241746928318882670e-01 2.258976878811017660e-03
-3.168362325908806731e-01 2.224774171872261758e-03
-3.112461890428706579e-01 3.931360655534879914e-03
-3.052438415804198946e-01 3.056321266309818679e-03
-2.949958004924054245e-01 2.178844705971642350e-03
-2.895969246209530445e-01 2.491190023447398434e-03
-2.813053874903450047e-01 3.540560409681152172e-03
-2.776744127103178417e-01 5.295985437257031379e-03
-2.759839922338618301e-01 2.274458592072280995e-03
-2.641834558140684353e-01 2.938035702175616562e-03
-2.531970374210053554e-01 9.954948252258387711e-03
-2.428196638870438462e-01 6.119713076931269230e-03
-2.345175015141420238e-01 3.126197292904695987e-03
-2.266700557838030872e-01 2.924650688633466215e-03
-2.186524510733990623e-01 2.674997292553890973e-03
-2.165628940511299394e-01 4.078498668945487390e-03
-2.061345106377310832e-01 2.421929053267790101e-03
-2.024257996176003493e-01 2.690680659070830878e-03
-1.982920907533239074e-01 2.105379698976282341e-03
-1.921815443028349890e-01 2.338816473612805296e-03
-1.886585464325210570e-01 6.295997513878514619e-03
-1.810453090878725579e-01 2.541874088126683424e-03
-1.783680197024825331e-01 3.411113506009369727e-03
-1.660749534338026023e-01 3.450274884210432873e-03
-1.621057438054465116e-01 2.392223542067342147e-03
-1.546864831924711359e-01 2.991932658897191680e-03
-1.459780606193217256e-01 2.178574354076168521e-03
-1.359774724928017875e-01 3.708881800056840899e-03
-1.310984225939277881e-01 3.702377756564964074e-03
-1.231955738067592593e-01 3.519587695456611806e-03
-1.129049711287312130e-01 2.216983175796707114e-03
-1.126481670964440823e-01 2.797574845361220849e-03
-1.067350618420807168e-01 3.003325382765984972e-03
-1.013617912488311706e-01 3.080523787679513136e-03
-9.315301034565201532e-02 2.708819878984663164e-03
-8.975703027403028611e-02 1.988958669214730812e-03
-8.330736562486089347e-02 2.384877785325863024e-03
-7.318380946486999217e-02 2.418073906080420513e-03
-6.799335779298479321e-02 2.360228984572888301e-03
-6.306630976392083032e-02 2.253182675945437485e-03
-5.286717033077890926e-02 2.195990364270787240e-03
-4.874070454394302532e-02 4.336045297372750733e-03
-4.425364954643486171e-02 8.943157557998186041e-03
-4.209460581307222782e-02 3.237897728340920125e-03
-2.807010077917319879e-02 2.566237365547205211e-03
-2.503035333390832631e-02 3.354470146660466345e-03
-1.715026228439042733e-02 7.999099294366639537e-03
-1.547535318224483279e-02 2.714124364147320854e-03
-7.224736468826106241e-03 4.863250165914722450e-03
5.924549132531338859e-04 3.942042566262085601e-03
5.021077997685499845e-03 4.608024068190727865e-03
1.842649856283852527e-02 3.242301885194957649e-03
2.311454287499833254e-02 3.117424027974967371e-02
2.722486117807176864e-02 3.674591919839397848e-03
3.894510046987320617e-02 7.494413067954057428e-03
4.135846396265582120e-02 2.765461994792529042e-03
5.162748582051372714e-02 3.798704958674036826e-03
5.352494181431816100e-02 2.251181018882066585e-03
5.601579629368898250e-02 2.693804548372325143e-03
6.409341980411027706e-02 1.701571457026722703e-03
8.426549314908095278e-02 2.698935226059918577e-03
8.912100410950134222e-02 1.717122978991803342e-02
9.021782024541051548e-02 5.342295343306113081e-03
9.195791939981450003e-02 2.750310580018915443e-03
9.597955683883860334e-02 2.214380186213161378e-03
1.042292331685257256e-01 2.642105053852169313e-03
1.153475387387091072e-01 2.472705386075046887e-03
1.245119521424015024e-01 2.761450269492812977e-03
1.322281562377011499e-01 1.986908045900294753e-03
1.407168583392705841e-01 2.457161718232784252e-03
1.446689356727996478e-01 2.635111250814141902e-03
1.477845576593157240e-01 4.328351260616720292e-03
1.533507491474051798e-01 8.099919943244219406e-03
1.585043284618073978e-01 3.036257060584108148e-03
1.663352824865140800e-01 4.037508957294100309e-03
1.710890539064512939e-01 3.418492335839626479e-03
1.765903236367434848e-01 2.365074056529817715e-03
