# bins histo
6.271614666352310144e-03 3.194906507635721837e+01
1.811478996660183249e-02 1.825660861506126764e+01
2.995796526685135311e-02 9.128304307530632045e+00
4.180114056710087372e-02 1.083986136519263077e+01
5.364431586735039087e-02 5.134671172985983745e+00
6.548749116759991495e-02 3.423114115323984574e+00
7.733066646784944598e-02 1.141038038441329450e+00
8.917384176809894925e-02 1.711557057661994286e+00
1.010170170683484803e-01 2.282076076882658899e+00
1.128601923685979835e-01 5.705190192206647248e-01
