# bins histo
1.744245652871234675e-03 2.218160635668410663e+01
5.161541215396359128e-03 3.750825564687108482e+01
8.578836777921483581e-03 3.841362733489900450e+01
1.199613234044660803e-02 3.534183053623284110e+01
1.541342790297173249e-02 3.188201729984042032e+01
1.883072346549685694e-02 2.512406434277485445e+01
2.224801902802198139e-02 2.082354882464222356e+01
2.566531459054710584e-02 1.629669038450260743e+01
2.908261015307223030e-02 1.393625705500123857e+01
3.249990571559735475e-02 1.070278674061580126e+01
3.591720127812247920e-02 8.924378067703809592e+00
3.933449684064760365e-02 6.466940628770876387e+00
4.275179240317272811e-02 4.753201362146594278e+00
4.616908796569785256e-02 3.750825564687108926e+00
4.958638352822297701e-02 3.653821455255545025e+00
5.300367909074810147e-02 2.360433329501370192e+00
5.642097465327322592e-02 1.778408672911991006e+00
5.983827021579835037e-02 1.778408672911991006e+00
6.325556577832347482e-02 1.067045203747194693e+00
6.667286134084859928e-02 1.293388125754175277e+00
7.009015690337372373e-02 7.436981723086507623e-01
7.350745246589884818e-02 9.053716880279227830e-01
7.692474802842397263e-02 7.760328754525050998e-01
8.034204359094909709e-02 4.526858440139613915e-01
8.375933915347422154e-02 4.526858440139613915e-01
8.717663471599934599e-02 2.586776251508350888e-01
9.059393027852447045e-02 2.586776251508350888e-01
9.401122584104959490e-02 1.616735157192719097e-01
9.742852140357471935e-02 1.293388125754175444e-01
1.008458169660998438e-01 1.616735157192719097e-01
1.042631125286249683e-01 6.466940628770877220e-02
1.076804080911500927e-01 9.700410943156313748e-02
1.110977036536752172e-01 0.000000000000000000e+00
1.145149992162003416e-01 6.466940628770877220e-02
1.179322947787254661e-01 3.233470314385438610e-02
1.213495903412505905e-01 0.000000000000000000e+00
1.247668859037757150e-01 0.000000000000000000e+00
1.281841814663008394e-01 0.000000000000000000e+00
1.316014770288259639e-01 0.000000000000000000e+00
1.350187725913510883e-01 3.233470314385438610e-02
