# N epsilon av(E_GS) std(E_GS)
24 1.000000 -9.834744e+00 2.352741e+00
24 2.000000 -1.281402e+01 4.507918e+00
24 3.000000 -1.658051e+01 6.641415e+00
24 4.000000 -2.069028e+01 8.788896e+00
24 5.000000 -2.498300e+01 1.094532e+01
24 6.000000 -2.938144e+01 1.311264e+01
24 7.000000 -3.384497e+01 1.528663e+01
24 8.000000 -3.835161e+01 1.746356e+01
24 9.000000 -4.288824e+01 1.964275e+01
24 10.000000 -4.744644e+01 2.182337e+01
24 11.000000 -5.202055e+01 2.400469e+01
24 12.000000 -5.660630e+01 2.618693e+01
24 13.000000 -6.120133e+01 2.836973e+01
24 14.000000 -6.580382e+01 3.055274e+01
24 15.000000 -7.041223e+01 3.273616e+01
24 16.000000 -7.502544e+01 3.491972e+01
24 17.000000 -7.964266e+01 3.710358e+01
26 1.000000 -1.032806e+01 2.395947e+00
26 2.000000 -1.352383e+01 4.619559e+00
26 3.000000 -1.753933e+01 6.836757e+00
26 4.000000 -2.191866e+01 9.064047e+00
26 5.000000 -2.648394e+01 1.130500e+01
26 6.000000 -3.115996e+01 1.355593e+01
26 7.000000 -3.590389e+01 1.581067e+01
26 8.000000 -4.069302e+01 1.806955e+01
26 9.000000 -4.551294e+01 2.033046e+01
26 10.000000 -5.035473e+01 2.259212e+01
26 11.000000 -5.521260e+01 2.485431e+01
26 12.000000 -6.008284e+01 2.711669e+01
26 13.000000 -6.496233e+01 2.937923e+01
26 14.000000 -6.984947e+01 3.164176e+01
26 15.000000 -7.474275e+01 3.390443e+01
26 16.000000 -7.964097e+01 3.616711e+01
26 17.000000 -8.454338e+01 3.842975e+01
