# row col
0 1
2 1
3 1
4 2
5 2
5 3
6 3
7 4
8 4
8 5
9 5
9 6
10 5
11 6
12 7
13 7
13 8
14 8
14 9
15 8
15 10
16 9
16 11
17 9
17 10
18 11
19 12
20 12
20 13
21 13
21 14
22 13
22 15
23 14
23 16
24 14
24 15
24 17
25 16
25 18
26 15
27 16
27 17
28 17
29 18
30 19
31 19
31 20
32 20
32 21
33 20
33 22
34 21
34 23
35 21
35 22
35 24
36 23
36 25
37 22
37 26
38 23
38 24
38 27
39 24
39 28
40 25
40 29
41 24
41 26
42 25
42 27
43 27
43 28
44 29
45 30
46 30
46 31
47 31
47 32
48 31
48 33
49 32
49 34
50 32
50 33
50 35
51 34
51 36
52 33
52 37
53 34
53 35
53 38
54 35
54 39
55 36
55 40
56 35
56 37
56 41
57 36
57 38
57 42
58 38
58 39
58 43
59 40
59 44
60 37
61 38
61 41
62 39
62 41
63 40
63 42
64 42
64 43
65 43
66 44
